2026-03-06 12:03:45 [INFO] autosecaudit - LLM router enabled: primary=deepseek-reasoner, fallbacks=['openai/deepseek-chat'], default_provider=openai
2026-03-06 12:03:45 [INFO] autosecaudit - [agent] run_start | start | budget=999, max_iterations=10, timeout=1800.0s, resumed=False
2026-03-06 12:05:41 [INFO] autosecaudit - [ssl_expiry_check] action_end | success | A15 status=completed duration_ms=1326
2026-03-06 12:05:41 [INFO] autosecaudit - [js_endpoint_extractor] action_start | start | A9 target=https://lynolz.com:443/
2026-03-06 12:05:42 [INFO] autosecaudit - [js_endpoint_extractor] action_end | success | A9 status=completed duration_ms=1621
2026-03-06 12:05:42 [INFO] autosecaudit - [error_page_analyzer] action_start | start | A10 target=https://lynolz.com:443/
2026-03-06 12:05:43 [INFO] autosecaudit - [error_page_analyzer] action_end | success | A10 status=completed duration_ms=707
2026-03-06 12:05:43 [INFO] autosecaudit - [waf_detector] action_start | start | A11 target=https://lynolz.com:443/
2026-03-06 12:05:44 [INFO] autosecaudit - [waf_detector] action_end | success | A11 status=completed duration_ms=750
2026-03-06 12:05:44 [INFO] autosecaudit - [agent] phase_transition | info | phase=active_discovery reason=advance:passive_recon
2026-03-06 12:05:44 [INFO] autosecaudit - [api_schema_discovery] action_start | start | A1 target=https://lynolz.com:443/
2026-03-06 12:05:51 [INFO] autosecaudit - [api_schema_discovery] action_end | success | A1 status=completed duration_ms=7012
2026-03-06 12:05:51 [INFO] autosecaudit - [page_vision_analyzer] action_start | start | A2 target=https://lynolz.com:443/
2026-03-06 12:05:52 [INFO] autosecaudit - [page_vision_analyzer] action_end | error | A2 status=error duration_ms=660
2026-03-06 12:05:52 [INFO] autosecaudit - [dynamic_crawl] action_start | start | A3 target=https://lynolz.com:443/
2026-03-06 12:05:52 [INFO] autosecaudit - [dynamic_crawl] action_end | error | A3 status=error duration_ms=524
2026-03-06 12:05:52 [INFO] autosecaudit - [active_web_crawler] action_start | start | A4 target=https://lynolz.com:443/
2026-03-06 12:05:53 [INFO] autosecaudit - [active_web_crawler] action_end | error | A4 status=error duration_ms=515
2026-03-06 12:05:53 [INFO] autosecaudit - [dirsearch_scan] action_start | start | A5 target=https://lynolz.com:443
2026-03-06 12:07:23 [INFO] autosecaudit - [dirsearch_scan] action_end | error | A5 status=error duration_ms=90026
2026-03-06 12:07:23 [INFO] autosecaudit - [api_schema_discovery] action_start | start | A1 target=http://lynolz.com:80/
2026-03-06 12:07:36 [INFO] autosecaudit - [api_schema_discovery] action_end | success | A1 status=completed duration_ms=13608
2026-03-06 12:07:36 [INFO] autosecaudit - [page_vision_analyzer] action_start | start | A2 target=http://lynolz.com:80/
2026-03-06 12:07:37 [INFO] autosecaudit - [page_vision_analyzer] action_end | error | A2 status=error duration_ms=930
2026-03-06 12:07:37 [INFO] autosecaudit - [dynamic_crawl] action_start | start | A3 target=http://lynolz.com:80/
2026-03-06 12:07:38 [INFO] autosecaudit - [dynamic_crawl] action_end | error | A3 status=error duration_ms=920
2026-03-06 12:07:38 [INFO] autosecaudit - [active_web_crawler] action_start | start | A4 target=http://lynolz.com:80/
2026-03-06 12:07:39 [INFO] autosecaudit - [active_web_crawler] action_end | error | A4 status=error duration_ms=953
2026-03-06 12:07:39 [INFO] autosecaudit - [dirsearch_scan] action_start | start | A5 target=http://lynolz.com:80
2026-03-06 12:09:09 [INFO] autosecaudit - [dirsearch_scan] action_end | error | A5 status=error duration_ms=90020
2026-03-06 12:09:09 [INFO] autosecaudit - [api_schema_discovery] action_start | start | A1 target=https://lynolz.com:8443/
2026-03-06 12:09:17 [INFO] autosecaudit - [api_schema_discovery] action_end | success | A1 status=completed duration_ms=7787
2026-03-06 12:09:17 [INFO] autosecaudit - [page_vision_analyzer] action_start | start | A2 target=https://lynolz.com:8443/
2026-03-06 12:09:18 [INFO] autosecaudit - [page_vision_analyzer] action_end | error | A2 status=error duration_ms=1051
2026-03-06 12:09:18 [INFO] autosecaudit - [dynamic_crawl] action_start | start | A3 target=https://lynolz.com:8443/
2026-03-06 12:09:20 [INFO] autosecaudit - [dynamic_crawl] action_end | error | A3 status=error duration_ms=1180
2026-03-06 12:09:20 [INFO] autosecaudit - [active_web_crawler] action_start | start | A4 target=https://lynolz.com:8443/
2026-03-06 12:09:21 [INFO] autosecaudit - [active_web_crawler] action_end | error | A4 status=error duration_ms=1305
2026-03-06 12:09:21 [INFO] autosecaudit - [dirsearch_scan] action_start | start | A5 target=https://lynolz.com:8443
2026-03-06 12:10:51 [INFO] autosecaudit - [dirsearch_scan] action_end | error | A5 status=error duration_ms=90019
2026-03-06 12:10:51 [INFO] autosecaudit - [api_schema_discovery] action_start | start | A1 target=http://lynolz.com:8080/
2026-03-06 12:10:58 [INFO] autosecaudit - [api_schema_discovery] action_end | success | A1 status=completed duration_ms=6479
2026-03-06 12:10:58 [INFO] autosecaudit - [page_vision_analyzer] action_start | start | A2 target=http://lynolz.com:8080/
2026-03-06 12:10:58 [INFO] autosecaudit - [page_vision_analyzer] action_end | error | A2 status=error duration_ms=663
2026-03-06 12:10:58 [INFO] autosecaudit - [dynamic_crawl] action_start | start | A3 target=http://lynolz.com:8080/
2026-03-06 12:10:59 [INFO] autosecaudit - [dynamic_crawl] action_end | error | A3 status=error duration_ms=586
2026-03-06 12:10:59 [INFO] autosecaudit - [active_web_crawler] action_start | start | A4 target=http://lynolz.com:8080/
2026-03-06 12:11:00 [INFO] autosecaudit - [active_web_crawler] action_end | error | A4 status=error duration_ms=622
2026-03-06 12:11:00 [INFO] autosecaudit - [api_schema_discovery] action_start | start | A1 target=http://lynolz.com:8000/
2026-03-06 12:11:56 [INFO] autosecaudit - [api_schema_discovery] action_end | success | A1 status=completed duration_ms=56103
2026-03-06 12:11:56 [INFO] autosecaudit - [page_vision_analyzer] action_start | start | A2 target=http://lynolz.com:8000/
2026-03-06 12:11:56 [INFO] autosecaudit - [page_vision_analyzer] action_end | error | A2 status=error duration_ms=587
2026-03-06 12:11:56 [INFO] autosecaudit - [dynamic_crawl] action_start | start | A3 target=http://lynolz.com:8000/
2026-03-06 12:11:57 [INFO] autosecaudit - [dynamic_crawl] action_end | error | A3 status=error duration_ms=585
2026-03-06 12:11:57 [INFO] autosecaudit - [active_web_crawler] action_start | start | A4 target=http://lynolz.com:8000/
2026-03-06 12:11:58 [INFO] autosecaudit - [active_web_crawler] action_end | error | A4 status=error duration_ms=557
2026-03-06 12:11:58 [INFO] autosecaudit - [api_schema_discovery] action_start | start | A1 target=http://lynolz.com:8008/
2026-03-06 12:12:54 [INFO] autosecaudit - [api_schema_discovery] action_end | success | A1 status=completed duration_ms=56100
2026-03-06 12:12:54 [INFO] autosecaudit - [page_vision_analyzer] action_start | start | A2 target=http://lynolz.com:8008/
2026-03-06 12:12:55 [INFO] autosecaudit - [page_vision_analyzer] action_end | error | A2 status=error duration_ms=1221
2026-03-06 12:12:55 [INFO] autosecaudit - [dynamic_crawl] action_start | start | A3 target=http://lynolz.com:8008/
2026-03-06 12:12:56 [INFO] autosecaudit - [dynamic_crawl] action_end | error | A3 status=error duration_ms=1231
2026-03-06 12:12:56 [INFO] autosecaudit - [active_web_crawler] action_start | start | A4 target=http://lynolz.com:8008/
2026-03-06 12:12:58 [INFO] autosecaudit - [active_web_crawler] action_end | error | A4 status=error duration_ms=1482
2026-03-06 12:12:58 [INFO] autosecaudit - [dirsearch_scan] action_start | start | A5 target=http://lynolz.com:8080
2026-03-06 12:14:28 [INFO] autosecaudit - [dirsearch_scan] action_end | error | A5 status=error duration_ms=90016
2026-03-06 12:14:28 [INFO] autosecaudit - [api_schema_discovery] action_start | start | A1 target=http://lynolz.com:8888/
2026-03-06 12:15:24 [INFO] autosecaudit - [api_schema_discovery] action_end | success | A1 status=completed duration_ms=56100
2026-03-06 12:15:24 [INFO] autosecaudit - [page_vision_analyzer] action_start | start | A2 target=http://lynolz.com:8888/
2026-03-06 12:15:25 [INFO] autosecaudit - [page_vision_analyzer] action_end | error | A2 status=error duration_ms=686
2026-03-06 12:15:25 [INFO] autosecaudit - [dynamic_crawl] action_start | start | A3 target=http://lynolz.com:8888/
2026-03-06 12:15:25 [INFO] autosecaudit - [dynamic_crawl] action_end | error | A3 status=error duration_ms=565
2026-03-06 12:15:25 [INFO] autosecaudit - [active_web_crawler] action_start | start | A4 target=http://lynolz.com:8888/
2026-03-06 12:15:26 [INFO] autosecaudit - [active_web_crawler] action_end | error | A4 status=error duration_ms=555
2026-03-06 12:15:26 [INFO] autosecaudit - [dirsearch_scan] action_start | start | A5 target=http://lynolz.com:8000
2026-03-06 12:15:41 [INFO] autosecaudit - [dirsearch_scan] action_end | success | A5 status=completed duration_ms=15606
2026-03-06 12:15:42 [INFO] autosecaudit - [agent] iteration_stop | warning | Iteration 10: no executable actions after policy/scheduler.
2026-03-06 12:15:42 [INFO] autosecaudit - [agent] report_snapshot | info | markdown=agent_report_lynolz-com_20260306T041542Z.md, html=agent_report_lynolz-com_20260306T041542Z.html, json=audit_report_lynolz-com_20260306T041542Z.json
2026-03-06 12:15:42 [INFO] autosecaudit - [agent] run_end | success | history=50, findings=17
2026-03-06 12:15:42 [INFO] autosecaudit - Agent decision summary: [phase:active_discovery] No safe in-scope actions selected. Possible reasons: budget exhausted, all actions already executed, or scope constraints.
2026-03-06 12:15:42 [INFO] autosecaudit - Action plan: /workspace/output/web-jobs/job-20260306-120345-001-lynolz.com/agent/ActionPlan.json
2026-03-06 12:15:42 [INFO] autosecaudit - History: /workspace/output/web-jobs/job-20260306-120345-001-lynolz.com/agent/agent_history.json
2026-03-06 12:15:42 [INFO] autosecaudit - State: /workspace/output/web-jobs/job-20260306-120345-001-lynolz.com/agent/agent_state.json
2026-03-06 12:15:42 [INFO] autosecaudit - Blocked actions: /workspace/output/web-jobs/job-20260306-120345-001-lynolz.com/agent/blocked_actions.json
2026-03-06 12:15:42 [INFO] autosecaudit - Artifact index: /workspace/output/web-jobs/job-20260306-120345-001-lynolz.com/agent/artifact_index.json
2026-03-06 12:15:42 [INFO] autosecaudit - Markdown report: /workspace/output/web-jobs/job-20260306-120345-001-lynolz.com/agent/agent_report_lynolz-com_20260306T041542Z.md
2026-03-06 12:15:42 [INFO] autosecaudit - HTML visual report: /workspace/output/web-jobs/job-20260306-120345-001-lynolz.com/agent/agent_report_lynolz-com_20260306T041542Z.html
2026-03-06 12:15:42 [INFO] autosecaudit - Findings: 17, Budget remaining: 644
2026-03-06 12:15:42 [INFO] autosecaudit - Resumed: False, Resumed from: None
